timestamp,open,high,low,close,volume
1754964000000,2.8247,2.8247,2.8247,2.8247,0.0
1754967600000,2.8247,2.8247,2.8247,2.8247,0.0
1754971200000,2.8506,2.8521,2.8493,2.8521,200.6
1754974800000,2.8075,2.8075,2.8061,2.8071,30.64
1754978400000,2.8013,2.8097,2.8013,2.8078,57.72
1754982000000,2.8112,2.8325,2.8112,2.829,83.57
1754985600000,2.8162,2.819,2.7905,2.8142,1706.45
1754989200000,2.7963,2.7963,2.7867,2.7937,26.2
1754992800000,2.7793,2.7998,2.7787,2.792,377.71
1754996400000,2.7868,2.8029,2.776,2.8009,183.99
1755000000000,2.8088,2.9062,2.789,2.8938,2327.52
1755003600000,2.8975,2.8979,2.8699,2.8699,199.47
1755007200000,2.8699,2.8912,2.8699,2.8861,347.95
1755010800000,2.8875,2.9264,2.8875,2.9264,186.32
1755014400000,2.9454,2.9472,2.902,2.9049,55.98
1755018000000,2.9277,2.9277,2.9193,2.9219,16.88
1755021600000,2.9219,2.9219,2.9219,2.9219,0.0
1755025200000,2.9219,2.9219,2.9219,2.9219,0.0
1755028800000,2.9766,2.9828,2.9766,2.9814,112.04
1755032400000,2.977,2.977,2.9344,2.9378,4114.49
1755036000000,2.9379,2.9422,2.912,2.9352,5770.06
1755039600000,2.9376,2.9673,2.9376,2.9423,4502.39
1755043200000,2.9416,2.9914,2.9416,2.975,5743.53
1755046800000,2.975,2.9769,2.9379,2.9598,7029.56
1755050400000,2.9586,2.9756,2.937,2.9743,3498.69
1755054000000,2.9807,3.0004,2.9712,2.9932,3387.23
1755057600000,2.9918,3.0134,2.9918,3.0054,3979.11
1755061200000,3.0066,3.0081,3.0042,3.0042,30.36
1755064800000,2.9617,2.9617,2.9456,2.9491,795.84
1755068400000,2.9494,2.9623,2.9494,2.9623,451.24
1755072000000,2.9629,2.9675,2.9629,2.9669,18.62
1755075600000,2.9756,2.9963,2.9756,2.9963,35.07
1755079200000,3.0189,3.0252,3.0081,3.0098,91.03
1755082800000,2.9904,2.9904,2.958,2.975,202.54
1755086400000,2.9764,2.9822,2.958,2.958,113.64
1755090000000,2.958,2.9907,2.9293,2.9561,537.27
1755093600000,2.9437,2.952,2.9033,2.9314,524.85
1755097200000,2.9194,2.9194,2.8873,2.9013,68.04
1755100800000,2.8995,2.8995,2.8828,2.8828,38.41
1755104400000,2.8917,2.9069,2.8853,2.898,40.05
1755108000000,2.9069,2.9121,2.8764,2.8764,42.66
1755111600000,2.8881,2.9107,2.8881,2.9106,103.25
1755115200000,2.9061,2.9121,2.9061,2.91,38.57
1755118800000,2.8925,2.8978,2.8699,2.8699,575.46
1755122400000,2.8728,2.8923,2.8496,2.8496,100.43
1755126000000,2.8496,2.8639,2.8496,2.8496,387.78
1755129600000,2.8496,2.8496,2.8294,2.8294,434.32
1755133200000,2.8294,2.8305,2.8092,2.8139,318.0
1755136800000,2.8156,2.8677,2.8132,2.867,318.0
1755140400000,2.8647,2.913,2.8576,2.9081,318.0
1755144000000,2.9075,2.9075,2.8486,2.853,318.0
1755147600000,2.8514,2.8728,2.8464,2.8622,318.0
1755151200000,2.8573,2.8573,2.8093,2.8386,245.79
1755154800000,2.841,2.8431,2.8159,2.8244,908.17
1755158400000,2.8092,2.8092,2.7687,2.7687,652.7
1755162000000,2.7687,2.7691,2.7485,2.7652,485.4
1755165600000,2.7613,2.7642,2.7283,2.7437,90.78
1755169200000,2.7429,2.7439,2.7341,2.7341,59.86
1755172800000,2.7484,2.7484,2.611,2.6355,1809.85
1755176400000,2.5867,2.6531,2.5867,2.6421,1327.78
1755180000000,2.6787,2.6787,2.67,2.6708,51.63
1755183600000,2.6789,2.6798,2.64,2.6573,100.3
1755187200000,2.6384,2.6384,2.6164,2.6376,1484.82
1755190800000,2.6302,2.642,2.6137,2.642,298.69
1755194400000,2.6445,2.7137,2.6352,2.7137,845.36
1755198000000,2.6989,2.7656,2.6989,2.7656,49.64
1755201600000,2.7656,2.7656,2.7656,2.7656,0.0
1755205200000,2.7656,2.7656,2.7656,2.7656,0.0
1755208800000,2.7656,2.7656,2.7656,2.7656,0.0
1755212400000,2.8243,2.8284,2.8077,2.8077,371.89
1755216000000,2.8126,2.8237,2.7951,2.8034,421.19
1755219600000,2.8041,2.8352,2.7936,2.8352,671.76
1755223200000,2.8462,2.8903,2.8412,2.8903,691.46
1755226800000,2.8758,2.9167,2.8758,2.9167,78.8
1755230400000,2.8948,2.9495,2.884,2.9495,196.96
1755234000000,2.9478,2.991,2.9171,2.9758,377.28
1755237600000,2.9953,3.0085,2.9887,2.9887,172.33
1755241200000,2.9922,2.9922,2.9711,2.9915,172.09
1755244800000,3.0043,3.0043,2.9925,2.9926,415.45
1755248400000,2.9926,3.0377,2.9926,3.0233,1045.19
1755252000000,3.009,3.1279,3.009,3.1033,1999.25
1755255600000,3.1033,3.1598,3.1033,3.1584,774.29
1755259200000,3.1567,3.2657,3.1402,3.2473,2391.44
1755262800000,3.236,3.248,3.1553,3.1709,356.29
1755266400000,3.1519,3.181,3.1466,3.1534,273.07
1755270000000,3.1534,3.1534,3.1534,3.1534,0.0
1755273600000,3.0393,3.1236,3.0169,3.112,1248.81
1755277200000,3.1048,3.1334,3.0743,3.1276,617.69
1755280800000,3.1168,3.1244,3.077,3.1244,686.85
1755284400000,3.0977,3.1658,3.0935,3.1363,55.33
1755288000000,3.1424,3.1735,3.1424,3.1658,39.49
1755291600000,3.2186,3.2327,3.2185,3.2327,21.91
1755295200000,3.2245,3.3586,3.2245,3.3566,397.68
1755298800000,3.3434,3.3434,3.2735,3.2742,765.53
1755302400000,3.2779,3.3397,3.2778,3.2836,167.03
1755306000000,3.2836,3.2836,3.2836,3.2836,0.0
1755309600000,3.2219,3.2259,3.2214,3.2214,21.4
1755313200000,3.2214,3.2214,3.2214,3.2214,0.0
1755316800000,3.2214,3.2214,3.2214,3.2214,0.0
1755320400000,3.2214,3.2214,3.2214,3.2214,0.0
1755324000000,3.2236,3.2236,3.2236,3.2236,63.05
1755327600000,3.2655,3.2799,3.2655,3.2799,162.3
1755331200000,3.2799,3.2799,3.2799,3.2799,0.0
1755334800000,3.2799,3.2799,3.2799,3.2799,0.0
1755338400000,3.2799,3.2799,3.2799,3.2799,0.0
1755342000000,3.2799,3.2799,3.2799,3.2799,0.0
1755345600000,3.2799,3.2799,3.2799,3.2799,0.0
1755349200000,3.2799,3.2799,3.2799,3.2799,0.0
1755352800000,3.2799,3.2799,3.2799,3.2799,0.0
1755356400000,3.2976,3.2984,3.2976,3.2984,364.46
1755360000000,3.3039,3.3039,3.3039,3.3039,245.78
1755363600000,3.3039,3.3039,3.3039,3.3039,0.0
1755367200000,3.365,3.3789,3.365,3.3789,373.71
1755370800000,3.3913,3.3971,3.3913,3.3971,256.21
1755374400000,3.3971,3.3971,3.3971,3.3971,0.0
1755378000000,3.3971,3.3971,3.3971,3.3971,0.0
1755381600000,3.3971,3.3971,3.3971,3.3971,0.0
1755385200000,3.3971,3.3971,3.3971,3.3971,0.0
