timestamp,open,high,low,close,volume
1770336000000,1825.4,1947.0,1740.7,1890.8,526926.6146
1770350400000,1890.9,1974.7,1885.0,1898.2,137034.5708
1770364800000,1898.2,1937.9,1866.0,1932.6,76454.8337
1770379200000,1932.3,2001.3,1914.4,1978.7,249716.191
1770393600000,1978.8,2090.1,1970.3,2065.0,315758.4184
1770408000000,2064.8,2091.7,2041.7,2062.0,151487.7702
1770422400000,2061.9,2084.5,2031.4,2079.5,87171.2004
1770436800000,2079.3,2117.8,1993.6,2027.4,219545.0021
1770451200000,2027.2,2031.6,1998.6,2017.7,45201.502
1770465600000,2017.5,2074.3,2008.4,2050.8,90210.5306
1770480000000,2051.2,2121.0,2012.0,2090.4,446051.1572
1770494400000,2090.0,2111.5,2072.0,2085.8,57139.5045
1770508800000,2085.9,2105.9,2075.4,2077.5,33738.675
1770523200000,2077.5,2087.7,2065.3,2083.2,23941.8778
1770537600000,2083.2,2135.3,2076.7,2131.1,79181.5122
1770552000000,2131.1,2143.6,2096.6,2107.3,53765.7428
1770566400000,2107.4,2128.1,2071.1,2125.3,71521.096
1770580800000,2125.4,2149.7,2072.0,2088.7,83285.4114
1770595200000,2088.6,2101.8,2053.7,2099.0,80080.1228
1770609600000,2098.6,2100.0,2063.4,2064.9,81711.0423
1770624000000,2064.9,2069.6,2012.6,2026.8,189244.4227
1770638400000,2027.1,2073.0,2007.5,2061.4,151230.1271
1770652800000,2060.9,2143.0,2046.4,2130.7,153540.535
1770667200000,2130.7,2146.5,2088.9,2104.1,101938.6686
1770681600000,2104.1,2123.7,2052.6,2064.1,98414.9285
1770696000000,2064.1,2073.5,1997.3,2006.7,112301.7839
1770710400000,2007.1,2029.6,1994.9,2001.9,103394.1367
1770724800000,2002.0,2039.1,1987.5,2021.7,217757.7928
1770739200000,2022.1,2046.0,1994.9,2017.0,129472.1471
1770753600000,2017.1,2022.0,1996.1,2021.9,66066.9979
1770768000000,2021.9,2031.3,1996.7,2008.6,42261.7671
1770782400000,2008.6,2010.4,1938.6,1949.7,113668.8321
1770796800000,1950.0,1955.4,1931.0,1952.7,39905.089
1770811200000,1952.8,2014.6,1902.0,1928.2,249265.9359
1770825600000,1928.0,1958.6,1908.2,1951.3,140950.2008
1770840000000,1951.2,1987.0,1931.1,1941.5,101342.1782
1770854400000,1941.4,1976.9,1940.0,1968.0,37299.7074
1770868800000,1967.7,1982.1,1952.2,1967.3,90199.333
1770883200000,1967.4,2000.0,1956.7,1988.6,44262.1638
1770897600000,1988.5,1995.6,1943.7,1947.6,73748.1139
1770912000000,1947.8,1948.6,1896.7,1924.5,157458.8761
1770926400000,1924.4,1952.0,1908.2,1946.9,41776.722
1770940800000,1946.9,1958.3,1927.1,1952.3,36669.5859
1770955200000,1952.4,1954.6,1923.4,1934.7,60099.647
1770969600000,1934.7,1968.0,1933.0,1959.4,67960.2107
1770984000000,1959.4,2049.7,1951.8,2034.3,168499.1877
1770998400000,2034.3,2071.1,2030.9,2056.7,127779.3285
1771012800000,2056.9,2058.6,2038.5,2047.6,47148.2574
1771027200000,2048.0,2056.5,2042.0,2053.6,18489.5643
1771041600000,2053.6,2059.7,2047.3,2056.2,29322.0193
1771056000000,2056.2,2105.5,2056.2,2098.4,80416.1126
1771070400000,2098.4,2098.7,2064.5,2086.5,53170.799
1771084800000,2086.5,2088.9,2066.6,2086.8,52060.6763
1771099200000,2087.4,2097.4,2077.8,2085.3,27802.1287
1771113600000,2085.4,2089.1,2036.1,2058.3,53358.5239
1771128000000,2058.3,2102.4,2058.2,2090.4,71277.9146
