timestamp,open,high,low,close,volume
1754956800000,24.781,25.083,24.777,25.074,1573.2
1754960400000,25.043,25.217,24.991,25.112,168.6
1754964000000,25.119,25.248,25.021,25.131,53.3
1754967600000,25.068,25.068,24.895,24.941,53.9
1754971200000,24.91,25.14,24.869,25.057,372.0
1754974800000,24.982,25.007,24.604,24.687,124.6
1754978400000,24.715,24.905,24.44,24.826,445.9
1754982000000,24.724,25.004,24.724,24.987,96.1
1754985600000,25.001,25.001,24.688,24.688,164.2
1754989200000,24.678,24.678,24.524,24.527,84.4
1754992800000,24.541,24.564,24.237,24.237,765.6
1754996400000,24.25,24.469,24.068,24.459,181.2
1755000000000,24.491,25.698,24.392,25.528,544.3
1755003600000,25.514,25.634,25.148,25.356,1386.1
1755007200000,25.318,25.688,25.301,25.683,157.1
1755010800000,25.692,26.111,25.625,26.061,1030.7
1755014400000,26.048,26.092,25.86,26.089,647.5
1755018000000,26.128,26.341,26.034,26.195,391.2
1755021600000,26.176,26.536,26.057,26.068,586.5
1755025200000,26.16,26.479,26.16,26.467,758.4
1755028800000,26.471,26.825,26.406,26.705,310.3
1755032400000,26.691,26.72,26.463,26.5,342.8
1755036000000,26.54,26.602,26.421,26.496,449.8
1755039600000,26.511,26.575,26.41,26.475,388.7
1755043200000,26.486,26.74,26.477,26.534,213.3
1755046800000,26.371,26.406,25.897,26.027,157.9
1755050400000,25.972,26.195,25.821,26.195,73.5
1755054000000,26.234,26.349,26.027,26.16,446.7
1755057600000,26.151,26.3,25.885,26.009,148.2
1755061200000,25.997,26.263,25.755,25.779,75.1
1755064800000,25.793,25.793,25.414,25.636,644.1
1755068400000,25.657,26.015,25.632,26.015,146.9
1755072000000,26.005,26.26,25.915,26.163,317.4
1755075600000,26.183,27.091,26.145,26.994,1022.5
1755079200000,26.947,27.377,26.947,27.222,6198.0
1755082800000,27.188,27.273,26.882,26.89,13853.9
1755086400000,26.877,26.89,26.578,26.603,8413.1
1755090000000,26.641,27.293,26.622,26.824,778.3
1755093600000,26.862,27.074,26.497,26.582,2968.7
1755097200000,26.635,26.766,26.375,26.666,2414.8
1755100800000,26.656,27.11,26.582,26.652,1245.2
1755104400000,26.696,26.786,26.628,26.748,394.0
1755108000000,26.743,26.838,26.07,26.262,480.4
1755111600000,26.256,26.621,26.251,26.607,1156.7
1755115200000,26.546,26.758,26.374,26.628,479.7
1755118800000,26.596,26.838,26.489,26.547,644.9
1755122400000,26.553,26.985,26.541,26.784,216.3
1755126000000,26.816,27.001,26.78,26.93,780.3
1755129600000,26.941,26.969,26.681,26.688,238.6
1755133200000,26.731,27.059,26.589,26.869,246.8
1755136800000,26.926,27.371,26.926,27.251,2687.1
1755140400000,27.269,27.512,27.254,27.343,547.7
1755144000000,27.294,27.31,26.849,26.849,128.4
1755147600000,26.815,26.867,26.53,26.647,554.7
1755151200000,26.63,26.654,26.27,26.56,492.6
1755154800000,26.631,26.703,26.216,26.403,474.8
1755158400000,26.486,26.486,25.955,25.97,599.0
1755162000000,25.903,26.278,25.872,26.276,118.3
1755165600000,26.263,26.407,25.922,26.101,741.3
1755169200000,26.063,26.19,26.036,26.055,305.9
1755172800000,26.072,26.232,24.487,24.907,4231.1
1755176400000,24.907,25.258,24.464,25.062,3654.0
1755180000000,25.058,25.456,24.978,25.071,543.0
1755183600000,25.11,25.227,24.842,24.883,640.8
1755187200000,24.881,24.881,24.435,24.558,1421.3
1755190800000,24.526,24.769,24.417,24.668,357.1
1755194400000,24.654,24.767,24.323,24.723,463.9
1755198000000,24.662,24.74,24.38,24.38,243.5
1755201600000,24.315,24.462,24.257,24.462,499.5
1755205200000,24.452,24.456,24.085,24.26,799.8
1755208800000,24.233,25.235,24.158,24.774,618.0
1755212400000,24.763,24.784,24.509,24.698,575.9
1755216000000,24.704,24.808,24.481,24.576,451.3
1755219600000,24.49,24.772,24.49,24.705,176.1
